REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 cut_data/Real/cln_et/t39c0206.wav	 workspace/enh_wavs/test2/real/t39c0206.enh.wav	 SQValue=1.470	 1.470	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c0207.wav	 workspace/enh_wavs/test2/real/t39c0207.enh.wav	 SQValue=1.306	 1.306	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t39c0208.wav	 workspace/enh_wavs/test2/real/t39c0208.enh.wav	 SQValue=1.651	 1.651	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c0209.wav	 workspace/enh_wavs/test2/real/t39c0209.enh.wav	 SQValue=1.702	 1.702	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t39c020a.wav	 workspace/enh_wavs/test2/real/t39c020a.enh.wav	 SQValue=1.329	 1.329	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c020b.wav	 workspace/enh_wavs/test2/real/t39c020b.enh.wav	 SQValue=1.671	 1.671	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c020c.wav	 workspace/enh_wavs/test2/real/t39c020c.enh.wav	 SQValue=1.442	 1.442	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c020d.wav	 workspace/enh_wavs/test2/real/t39c020d.enh.wav	 SQValue=1.727	 1.727	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t39c020e.wav	 workspace/enh_wavs/test2/real/t39c020e.enh.wav	 SQValue=1.472	 1.472	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c020f.wav	 workspace/enh_wavs/test2/real/t39c020f.enh.wav	 SQValue=1.838	 1.838	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t39c020g.wav	 workspace/enh_wavs/test2/real/t39c020g.enh.wav	 SQValue=1.516	 1.516	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t39c020h.wav	 workspace/enh_wavs/test2/real/t39c020h.enh.wav	 SQValue=1.290	 1.290	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t39c020k.wav	 workspace/enh_wavs/test2/real/t39c020k.enh.wav	 SQValue=1.682	 1.682	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t39c020l.wav	 workspace/enh_wavs/test2/real/t39c020l.enh.wav	 SQValue=1.335	 1.335	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t39c020n.wav	 workspace/enh_wavs/test2/real/t39c020n.enh.wav	 SQValue=1.606	 1.606	 0.000	 0	 16000	0.0200
 cut_data/Real/cln_et/t39c020o.wav	 workspace/enh_wavs/test2/real/t39c020o.enh.wav	 SQValue=1.271	 1.271	 0.000	 0	 16000	0.0200
 cut_data/Real/cln_et/t39c020p.wav	 workspace/enh_wavs/test2/real/t39c020p.enh.wav	 SQValue=1.805	 1.805	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c020q.wav	 workspace/enh_wavs/test2/real/t39c020q.enh.wav	 SQValue=1.384	 1.384	 0.000	 0	 16000	0.0240
 cut_data/Real/cln_et/t39c020r.wav	 workspace/enh_wavs/test2/real/t39c020r.enh.wav	 SQValue=1.681	 1.681	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t39c020s.wav	 workspace/enh_wavs/test2/real/t39c020s.enh.wav	 SQValue=1.559	 1.559	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t40c0201.wav	 workspace/enh_wavs/test2/real/t40c0201.enh.wav	 SQValue=1.358	 1.358	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t40c0202.wav	 workspace/enh_wavs/test2/real/t40c0202.enh.wav	 SQValue=1.668	 1.668	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t40c0203.wav	 workspace/enh_wavs/test2/real/t40c0203.enh.wav	 SQValue=1.826	 1.826	 0.000	 0	 16000	0.0000
